% positions where ≥1 other cell flipped, remove | newly_legal
=============================================================

|   alpha | (3,3)   | (0,3)   | (2,3)   |
|---------|---------|---------|---------|
|  0.0000 | 0.0%    | 0.0%    | 0.0%    |
|  0.5000 | 28.5%   | 7.0%    | 6.0%    |
|  1.0000 | 50.5%   | 14.0%   | 14.0%   |
|  1.5000 | 72.0%   | 16.5%   | 22.5%   |
|  2.0000 | 88.0%   | 20.0%   | 27.5%   |
|  2.5000 | 94.5%   | 26.0%   | 35.0%   |
|  3.0000 | 97.5%   | 36.0%   | 44.5%   |
