|cos| of flip (mine-yours) direction with target (3,3)
======================================================

|   row |      0 |      1 |      2 | 3      | 4      |      5 |      6 |      7 |
|-------|--------|--------|--------|--------|--------|--------|--------|--------|
|     0 | 0.0420 | 0.0130 | 0.0370 | 0.008  | 0.021  | 0.0080 | 0.0140 | 0.0100 |
|     1 | 0.0150 | 0.0900 | 0.0210 | 0.027  | 0.027  | 0.0630 | 0.0220 | 0.0260 |
|     2 | 0.0300 | 0.0380 | 0.1410 | 0.078  | 0.097  | 0.0160 | 0.0120 | 0.0200 |
|     3 | 0.0070 | 0.0420 | 0.0960 | 1.000T | 0.079* | 0.0270 | 0.0090 | 0.0170 |
|     4 | 0.0370 | 0.0330 | 0.1100 | 0.081* | 0.103* | 0.0000 | 0.0200 | 0.0170 |
|     5 | 0.0230 | 0.0620 | 0.0070 | 0.055  | 0.016  | 0.0930 | 0.0030 | 0.0330 |
|     6 | 0.0210 | 0.0000 | 0.0000 | 0.027  | 0.012  | 0.0120 | 0.0820 | 0.0010 |
|     7 | 0.0020 | 0.0140 | 0.0050 | 0.008  | 0.024  | 0.0010 | 0.0050 | 0.0060 |
