% positions where ≥1 other cell flipped, flip | both
====================================================

|   alpha | (3,3)   | (0,3)   | (2,3)   |
|---------|---------|---------|---------|
|  0.0000 | 0.0%    | 0.0%    | 0.0%    |
|  0.5000 | 5.0%    | 8.5%    | 5.0%    |
|  1.0000 | 10.0%   | 13.5%   | 10.5%   |
|  1.5000 | 13.5%   | 18.5%   | 16.5%   |
|  2.0000 | 18.5%   | 23.0%   | 18.0%   |
|  2.5000 | 24.0%   | 28.0%   | 23.5%   |
|  3.0000 | 33.5%   | 42.0%   | 28.0%   |
