% positions where ≥1 other cell flipped, flip | newly_illegal
=============================================================

|   alpha | (3,3)   | (0,3)   | (2,3)   |
|---------|---------|---------|---------|
|  0.0000 | 0.0%    | 0.0%    | 0.0%    |
|  0.5000 | 5.5%    | 6.0%    | 4.5%    |
|  1.0000 | 12.5%   | 11.0%   | 8.5%    |
|  1.5000 | 19.0%   | 17.0%   | 14.0%   |
|  2.0000 | 23.0%   | 21.0%   | 16.5%   |
|  2.5000 | 26.0%   | 30.0%   | 20.5%   |
|  3.0000 | 28.0%   | 39.5%   | 23.0%   |
