% positions where ≥1 other cell flipped, remove | both
======================================================

|   alpha | (3,3)   | (0,3)   | (2,3)   |
|---------|---------|---------|---------|
|  0.0000 | 0.0%    | 0.0%    | 0.0%    |
|  0.5000 | 27.0%   | 7.5%    | 5.5%    |
|  1.0000 | 52.0%   | 17.0%   | 9.5%    |
|  1.5000 | 76.0%   | 25.5%   | 13.5%   |
|  2.0000 | 92.0%   | 30.5%   | 19.0%   |
|  2.5000 | 97.0%   | 38.0%   | 27.5%   |
|  3.0000 | 99.5%   | 46.0%   | 35.0%   |
