|cos| of empty direction with target (2,3) (T=target, *=board-center starting cell, mode=0)
===========================================================================================

|   row |      0 |      1 |      2 | 3      | 4      |      5 |      6 |      7 |
|-------|--------|--------|--------|--------|--------|--------|--------|--------|
|     0 | 0.0270 | 0.0980 | 0.0150 | 0.094  | 0.025  | 0.0550 | 0.0100 | 0.0210 |
|     1 | 0.0120 | 0.0070 | 0.0620 | 0.086  | 0.034  | 0.0620 | 0.0040 | 0.0500 |
|     2 | 0.0180 | 0.1130 | 0.0220 | 1.000T | 0.042  | 0.0930 | 0.0000 | 0.0060 |
|     3 | 0.0050 | 0.0030 | 0.0510 | 0.134* | 0.133* | 0.0420 | 0.0290 | 0.0630 |
|     4 | 0.0060 | 0.0800 | 0.0100 | 0.144* | 0.139* | 0.1250 | 0.0100 | 0.0000 |
|     5 | 0.0110 | 0.0110 | 0.0080 | 0.045  | 0.016  | 0.0020 | 0.0380 | 0.0020 |
|     6 | 0.0240 | 0.0070 | 0.0080 | 0.042  | 0.028  | 0.0040 | 0.0270 | 0.0260 |
|     7 | 0.0510 | 0.0330 | 0.0270 | 0.021  | 0.001  | 0.0430 | 0.0170 | 0.0250 |
