% positions where ≥1 other cell flipped, flip | newly_legal
===========================================================

|   alpha | (3,3)   | (0,3)   | (2,3)   |
|---------|---------|---------|---------|
|  0.0000 | 0.0%    | 0.0%    | 0.0%    |
|  0.5000 | 6.5%    | 5.0%    | 7.0%    |
|  1.0000 | 12.5%   | 12.0%   | 11.0%   |
|  1.5000 | 19.0%   | 18.0%   | 18.0%   |
|  2.0000 | 27.0%   | 24.5%   | 23.5%   |
|  2.5000 | 35.5%   | 34.0%   | 31.5%   |
|  3.0000 | 44.5%   | 47.0%   | 36.5%   |
