|cos| of flip (mine-yours) direction with target (2,3)
======================================================

|   row |      0 |      1 |      2 | 3      | 4      |      5 |      6 |      7 |
|-------|--------|--------|--------|--------|--------|--------|--------|--------|
|     0 | 0.0090 | 0.0380 | 0.0470 | 0.027  | 0.030  | 0.0510 | 0.0220 | 0.0110 |
|     1 | 0.0130 | 0.0010 | 0.1300 | 0.092  | 0.122  | 0.0160 | 0.0190 | 0.0030 |
|     2 | 0.0010 | 0.0920 | 0.0990 | 1.000T | 0.129  | 0.0630 | 0.0170 | 0.0190 |
|     3 | 0.0250 | 0.0120 | 0.1140 | 0.078* | 0.135* | 0.0140 | 0.0010 | 0.0430 |
|     4 | 0.0420 | 0.0670 | 0.0000 | 0.088* | 0.014* | 0.0870 | 0.0050 | 0.0280 |
|     5 | 0.0140 | 0.0020 | 0.0040 | 0.043  | 0.012  | 0.0280 | 0.0510 | 0.0330 |
|     6 | 0.0160 | 0.0030 | 0.0020 | 0.039  | 0.009  | 0.0050 | 0.0120 | 0.0130 |
|     7 | 0.0120 | 0.0120 | 0.0070 | 0.044  | 0.009  | 0.0240 | 0.0030 | 0.0060 |
