|cos| of empty direction with target (0,3) (T=target, *=board-center starting cell, mode=0)
===========================================================================================

|   row |      0 |      1 |      2 | 3      | 4      |      5 |      6 |      7 |
|-------|--------|--------|--------|--------|--------|--------|--------|--------|
|     0 | 0.0440 | 0.1490 | 0.1320 | 1.000T | 0.146  | 0.1250 | 0.0340 | 0.0390 |
|     1 | 0.0290 | 0.0110 | 0.0620 | 0.123  | 0.062  | 0.0210 | 0.0130 | 0.0090 |
|     2 | 0.0150 | 0.0710 | 0.0040 | 0.094  | 0.008  | 0.0390 | 0.0120 | 0.0290 |
|     3 | 0.0150 | 0.0090 | 0.0050 | 0.044* | 0.053* | 0.0060 | 0.0030 | 0.0040 |
|     4 | 0.0110 | 0.0130 | 0.0030 | 0.058* | 0.056* | 0.0020 | 0.0150 | 0.0110 |
|     5 | 0.0030 | 0.0040 | 0.0110 | 0.011  | 0.026  | 0.0210 | 0.0000 | 0.0210 |
|     6 | 0.0090 | 0.0030 | 0.0040 | 0.015  | 0.030  | 0.0170 | 0.0210 | 0.0110 |
|     7 | 0.0010 | 0.0150 | 0.0100 | 0.010  | 0.013  | 0.0020 | 0.0020 | 0.0010 |
