game_idx,game_length,positions_analyzed,avg_illegal_prob,max_illegal_prob,failure_count,failure_rate
0,60,56,0.004384158942837631,0.06628605031049944,1,0.017857142857142856
1,60,56,0.00492726158818809,0.07376594396315402,2,0.03571428571428571
2,60,56,0.004323008666346803,0.06427725647919334,1,0.017857142857142856
3,60,56,0.005712011957506292,0.06036257257763076,3,0.05357142857142857
4,60,56,0.0029700600700115535,0.03950786756688651,0,0.0
5,60,56,0.0010690050322395568,0.00509478445479683,0,0.0
6,60,56,0.004032437180053728,0.03068043189067085,0,0.0
7,60,56,0.017325995281509157,0.22199051883329454,6,0.10714285714285714
8,60,56,0.009129968928305771,0.21950433943790362,3,0.05357142857142857
9,60,56,0.0030123484669363843,0.02226464224064121,0,0.0
10,60,56,0.007499671563085566,0.10264135642865288,2,0.03571428571428571
11,60,56,0.008542215873252688,0.0701542041101812,4,0.07142857142857142
12,60,56,0.008094105366717995,0.12331616514160323,3,0.05357142857142857
13,60,56,0.0039422859524438645,0.04211340212757564,0,0.0
14,60,56,0.00246982295867122,0.030522744212658545,0,0.0
15,60,56,0.0014246836840595208,0.02312163990148461,0,0.0
16,60,56,0.008990148368073115,0.16146372516418933,3,0.05357142857142857
17,60,56,0.003716211905510987,0.06800981201879602,1,0.017857142857142856
18,60,56,0.0024739234953304184,0.01984031911636474,0,0.0
19,60,56,0.00955781937691475,0.1554346696298062,3,0.05357142857142857
20,60,56,0.0030066746987524873,0.03786563739506055,0,0.0
21,58,54,0.013056759224498626,0.19037696995744308,4,0.07407407407407407
22,60,56,0.0011384358431309556,0.012543025929094353,0,0.0
23,60,56,0.003340735285569806,0.030957242220274628,0,0.0
24,60,56,0.006980627994736332,0.07985481111070529,2,0.03571428571428571
25,60,56,0.006883821808496533,0.1503255709248612,2,0.03571428571428571
26,60,56,0.006371280347640735,0.09906673022097341,1,0.017857142857142856
27,60,56,0.003956601791083375,0.054001598354485925,1,0.017857142857142856
28,60,56,0.009967256838029266,0.16796844137997172,3,0.05357142857142857
29,60,56,0.0054859628668267576,0.09048925553540835,1,0.017857142857142856
